timestamp,event_type,location,day_of_week,hour,found_parking,user,details,spot_type
2026-01-19T12:26:41,location_add,Rhame Avenue,,,,Adam,No notes,
2026-01-19T12:26:49,predict,Rhame Avenue,Tuesday,12.0,,Adam,Probability: 60.00%,
2026-01-19T12:26:57,predict,Rhame Avenue,Tuesday,2.0,,Adam,Probability: 60.00%,
2026-01-19T12:44:33,predict,Rhame Avenue,Monday,12.0,,Adam,Probability: 60.00% | Confidence: Very Low,
2026-01-19T12:44:49,report_submit,Rhame Avenue,Monday,12.0,0.0,Adam,Found: False,
2026-01-19T12:44:51,report_submit,Rhame Avenue,Monday,12.0,0.0,Adam,Found: False,
2026-01-19T12:44:56,predict,Rhame Avenue,Monday,12.0,,Adam,Probability: 42.86% | Confidence: Very Low,
2026-01-19T12:45:02,predict,Rhame Avenue,Saturday,12.0,,Adam,Probability: 42.86% | Confidence: Very Low,
2026-01-19T12:45:52,predict,Rhame Avenue,Saturday,21.0,,Adam,Probability: 42.86% | Confidence: Very Low,
2026-01-19T12:45:56,report_submit,Rhame Avenue,Monday,12.0,1.0,Adam,Found: True,
2026-01-19T12:45:57,report_submit,Rhame Avenue,Monday,12.0,1.0,Adam,Found: True,
2026-01-19T12:45:59,report_submit,Rhame Avenue,Monday,12.0,1.0,Adam,Found: True,
2026-01-19T16:50:02,predict,Rhame Avenue,Monday,16.0,,Adam Kolakowski,Probability: 98.54% | Confidence: Low-Medium,
2026-01-19T16:50:22,report_submit,Rhame Avenue,Monday,16.0,1.0,Adam Kolakowski,Found: True,
2026-01-19T19:09:20,predict,Rhame Avenue,Monday,19.0,,Anonymous,Probability: 99.91% | Confidence: Low-Medium,
2026-01-19T19:09:31,report_submit,Rhame Avenue,Monday,19.0,1.0,Anonymous,Found: True,
2026-01-19T19:10:36,location_add,Starbucks,,,,Anonymous,No notes,
2026-01-19T19:10:57,predict,Starbucks,Thursday,3.0,,Anonymous,Probability: 66.67% | Confidence: Very Low,
2026-01-19T19:11:10,report_submit,Starbucks,Monday,19.0,0.0,Anonymous,Found: False,
2026-01-19T19:11:13,predict,Starbucks,Thursday,3.0,,Anonymous,Probability: 29.97% | Confidence: Very Low,
2026-01-19T19:35:01,predict,Rhame Avenue,Monday,19.0,,Anonymous,Probability: 82.89% | Confidence: Low-Medium,
2026-01-19T19:35:12,report_submit,Rhame Avenue,Monday,19.0,1.0,Anonymous,Found: True,
