timestamp,location,day_of_week,hour,found_parking
2024-01-15 08:30:00,Downtown,Monday,8,0
2024-01-15 14:20:00,Downtown,Monday,14,1
2024-01-16 12:30:00,Mall,Tuesday,12,1
2024-01-17 08:45:00,Airport,Wednesday,8,0
2024-01-18 13:45:00,University,Thursday,13,1
2026-01-19 12:44:49,Rhame Avenue,Monday,12,0
2026-01-19 12:44:51,Rhame Avenue,Monday,12,0
2026-01-19 12:45:56,Rhame Avenue,Monday,12,1
2026-01-19 12:45:57,Rhame Avenue,Monday,12,1
2026-01-19 12:45:59,Rhame Avenue,Monday,12,1
2026-01-19 16:50:22,Rhame Avenue,Monday,16,1
2026-01-19 19:09:31,Rhame Avenue,Monday,19,1
2026-01-19 19:11:10,Starbucks,Monday,19,0
2026-01-19 19:35:12,Rhame Avenue,Monday,19,1
